team1,team2,season,toss_winner,toss_decision,winner,venue,result,result_margin,target_runs
Mumbai Indians,Rajasthan Royals,2,Rajasthan Royals,bat,Rajasthan Royals,Kingsmead,runs,2.0,146.0
Delhi Daredevils,Kings XI Punjab,2,Kings XI Punjab,field,Kings XI Punjab,OUTsurance Oval,wickets,6.0,121.0
Chennai Super Kings,Mumbai Indians,2,Mumbai Indians,bat,Chennai Super Kings,St George's Park,wickets,7.0,148.0
Deccan Chargers,Kolkata Knight Riders,2,Deccan Chargers,field,Deccan Chargers,New Wanderers Stadium,wickets,6.0,161.0
Deccan Chargers,Kings XI Punjab,2,Deccan Chargers,field,Kings XI Punjab,New Wanderers Stadium,runs,1.0,135.0
Delhi Daredevils,Rajasthan Royals,2,Delhi Daredevils,bat,Delhi Daredevils,OUTsurance Oval,runs,14.0,151.0
Chennai Super Kings,Kolkata Knight Riders,2,Chennai Super Kings,bat,Kolkata Knight Riders,SuperSport Park,wickets,7.0,189.0
Royal Challengers Bangalore,Delhi Daredevils,2,Delhi Daredevils,bat,Royal Challengers Bangalore,New Wanderers Stadium,wickets,7.0,135.0
Kolkata Knight Riders,Rajasthan Royals,2,Kolkata Knight Riders,field,Kolkata Knight Riders,Kingsmead,wickets,4.0,102.0
Chennai Super Kings,Kings XI Punjab,2,Chennai Super Kings,bat,Chennai Super Kings,Kingsmead,runs,24.0,117.0
Delhi Daredevils,Mumbai Indians,2,Delhi Daredevils,field,Delhi Daredevils,SuperSport Park,wickets,4.0,166.0
Royal Challengers Bangalore,Deccan Chargers,2,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,SuperSport Park,runs,12.0,171.0
Delhi Daredevils,Deccan Chargers,2,Deccan Chargers,field,Deccan Chargers,SuperSport Park,wickets,6.0,154.0
Royal Challengers Bangalore,Chennai Super Kings,2,Royal Challengers Bangalore,field,Royal Challengers Bangalore,New Wanderers Stadium,wickets,6.0,147.0
Royal Challengers Bangalore,Deccan Chargers,2,Royal Challengers Bangalore,field,Deccan Chargers,New Wanderers Stadium,runs,6.0,144.0
Deccan Chargers,Kolkata Knight Riders,3,Deccan Chargers,field,Kolkata Knight Riders,Dr DY Patil Sports Academy,runs,11.0,162.0
Mumbai Indians,Rajasthan Royals,3,Mumbai Indians,bat,Mumbai Indians,Brabourne Stadium,runs,4.0,213.0
Kings XI Punjab,Delhi Daredevils,3,Delhi Daredevils,field,Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali",wickets,5.0,143.0
Kolkata Knight Riders,Royal Challengers Bangalore,3,Kolkata Knight Riders,field,Kolkata Knight Riders,Eden Gardens,wickets,7.0,136.0
Chennai Super Kings,Deccan Chargers,3,Deccan Chargers,bat,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",runs,31.0,191.0
Rajasthan Royals,Delhi Daredevils,3,Delhi Daredevils,field,Delhi Daredevils,"Sardar Patel Stadium, Motera",wickets,6.0,142.0
Royal Challengers Bangalore,Kings XI Punjab,3,Kings XI Punjab,bat,Royal Challengers Bangalore,M Chinnaswamy Stadium,wickets,8.0,204.0
Kolkata Knight Riders,Chennai Super Kings,3,Chennai Super Kings,bat,Chennai Super Kings,Eden Gardens,runs,55.0,165.0
Delhi Daredevils,Mumbai Indians,3,Delhi Daredevils,field,Mumbai Indians,Feroz Shah Kotla,runs,98.0,219.0
Royal Challengers Bangalore,Rajasthan Royals,3,Royal Challengers Bangalore,field,Royal Challengers Bangalore,M Chinnaswamy Stadium,wickets,10.0,93.0
Deccan Chargers,Kings XI Punjab,3,Kings XI Punjab,field,Deccan Chargers,Barabati Stadium,wickets,5.0,186.0
Delhi Daredevils,Chennai Super Kings,3,Delhi Daredevils,bat,Chennai Super Kings,Feroz Shah Kotla,runs,6.0,171.0
Mumbai Indians,Royal Challengers Bangalore,3,Mumbai Indians,bat,Royal Challengers Bangalore,Brabourne Stadium,runs,34.0,169.0
Rajasthan Royals,Kolkata Knight Riders,3,Rajasthan Royals,bat,Rajasthan Royals,"Sardar Patel Stadium, Motera",wickets,7.0,152.0
Deccan Chargers,Delhi Daredevils,3,Deccan Chargers,bat,Deccan Chargers,Barabati Stadium,runs,10.0,172.0
Mumbai Indians,Kolkata Knight Riders,3,Kolkata Knight Riders,bat,Mumbai Indians,Brabourne Stadium,wickets,7.0,156.0
Royal Challengers Bangalore,Chennai Super Kings,3,Chennai Super Kings,field,Royal Challengers Bangalore,M Chinnaswamy Stadium,runs,36.0,172.0
Kings XI Punjab,Rajasthan Royals,3,Kings XI Punjab,field,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",runs,31.0,184.0
Chennai Super Kings,Mumbai Indians,3,Mumbai Indians,field,Mumbai Indians,"Brabourne Stadium, Mumbai",wickets,5.0,181.0
Royal Challengers Bangalore,Delhi Daredevils,3,Royal Challengers Bangalore,field,Delhi Daredevils,M Chinnaswamy Stadium,runs,17.0,184.0
Rajasthan Royals,Deccan Chargers,3,Deccan Chargers,bat,Rajasthan Royals,"Sardar Patel Stadium, Motera",wickets,8.0,149.0
Kings XI Punjab,Kolkata Knight Riders,3,Kolkata Knight Riders,bat,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",runs,39.0,184.0
Rajasthan Royals,Chennai Super Kings,3,Rajasthan Royals,bat,Rajasthan Royals,"Sardar Patel Stadium, Motera",runs,17.0,178.0
Deccan Chargers,Mumbai Indians,3,Deccan Chargers,field,Mumbai Indians,Dr DY Patil Sports Academy,runs,41.0,173.0
Delhi Daredevils,Kolkata Knight Riders,3,Delhi Daredevils,bat,Delhi Daredevils,Feroz Shah Kotla,runs,40.0,178.0
Mumbai Indians,Kings XI Punjab,3,Mumbai Indians,field,Mumbai Indians,Brabourne Stadium,wickets,4.0,164.0
Delhi Daredevils,Rajasthan Royals,3,Delhi Daredevils,bat,Delhi Daredevils,Feroz Shah Kotla,wickets,5.0,162.0
Chennai Super Kings,Royal Challengers Bangalore,3,Royal Challengers Bangalore,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",runs,67.0,189.0
Kolkata Knight Riders,Deccan Chargers,3,Kolkata Knight Riders,bat,Kolkata Knight Riders,Eden Gardens,runs,24.0,182.0
Kings XI Punjab,Royal Challengers Bangalore,3,Kings XI Punjab,bat,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",wickets,6.0,182.0
Mumbai Indians,Deccan Chargers,3,Mumbai Indians,bat,Mumbai Indians,Brabourne Stadium,runs,23.0,247.0
